DEVICE NUMBER: 1
COMMENTS: TEST
KEITHLEY VOLTAGE: -5.000e+00 V
INITIAL PHOTOCURRENT: -1.01e-03 (A)
STARTING WAVELENGTH FOR LASER 3: 1555.0 (nm) : STARTING WAVELENGTH FOR LASER 4: 1554.409 (nm) : DELAY: 3 (s) 
DATE: 07/29/2024
TIME: 16:19:36

F_BEAT(GHz)	PHOTOCURRENT (A)	Raw RF POW (dBm)	Cal RF POW (dBm)	P Actual (dBm)
0.30      	-1.0100e-03		-23.27    		-22.30    		7.077     
0.70      	-1.0100e-03		-23.78    		-22.40    		7.074     
1.30      	-1.0100e-03		-23.65    		-21.74    		7.072     
1.70      	-1.0100e-03		-24.27    		-22.10    		7.070     
2.20      	-1.0100e-03		-24.31    		-21.91    		7.067     
2.80      	-1.0100e-03		-24.35    		-21.92    		7.064     
3.20      	-1.0100e-03		-24.48    		-22.21    		7.062     
3.90      	-1.0100e-03		-24.75    		-22.74    		7.060     
4.20      	-1.0100e-03		-24.95    		-23.03    		7.057     
4.80      	-1.0000e-03		-24.69    		-22.87    		7.055     
5.20      	-1.0000e-03		-24.64    		-22.85    		7.052     
5.80      	-1.0000e-03		-25.27    		-23.49    		7.049     
6.20      	-1.0000e-03		-25.44    		-23.67    		7.047     
7.00      	-1.0000e-03		-25.54    		-23.74    		7.043     
7.50      	-1.0000e-03		-25.89    		-24.05    		7.040     
8.00      	-1.0000e-03		-26.26    		-24.44    		7.037     
